sigla_uf,populacao,investimento_trat_colet,indice_atendimento,invest_por_habit
AC,562843,841152205.3,0.237,1494.47
AL,2437832,3115972923.9,0.266,1278.17
AM,3014220,4305944958.8,0.23,1428.54
AP,658840,1136176495.0,0.217,1724.51
BA,10880101,9595973249.1,0.42,881.97
CE,6603150,8221004651.7,0.442,1245.01
DF,2694296,1702413129.3,0.914,631.86
ES,3209162,3222231889.8,0.75,1004.07
GO,5817885,6190718753.3,0.368,1064.08
MA,4290065,6671191290.2,0.186,1555.03
MG,17592969,9547098226.2,0.792,542.67
MS,2215953,2388873944.3,0.278,1078.03
MT,2604062,3665429570.8,0.234,1407.58
PA,5459309,8602458603.5,0.198,1575.74
PB,2958129,2907021216.0,0.469,982.72
PE,7385329,9889706560.4,0.56,1339.1
PI,2096856,3026521491.6,0.235,1443.36
PR,9402234,7241594263.5,0.416,770.2
RJ,15826680,11184830736.0,0.802,706.71
RN,2630467,3745492600.8,0.346,1423.89
RO,1277299,2072596814.4,0.131,1622.64
RR,374084,576578506.6,0.366,1541.31
RS,9512434,8300517071.4,0.58,872.6
SC,5594950,7640804488.8,0.67,1365.66
SE,1619457,2572943164.2,0.361,1588.77
SP,41892786,19528096720.3,0.928,466.14
TO,1169213,1602981547.2,0.264,1370.99
