ano,regiao,f0_,f1_
2007,Nordeste,576.8,135.8
2007,Norte,886.9,224.6
2007,Sudeste,685.3,129.3
2007,Centro-Oeste,1155.0,285.8
2007,Sul,934.3,172.0
2008,Nordeste,621.8,143.2
2008,Norte,951.1,232.0
2008,Sudeste,675.5,126.0
2008,Centro-Oeste,1212.3,294.8
2008,Sul,869.3,148.7
2009,Nordeste,594.4,124.3
2009,Norte,992.6,229.1
2009,Sudeste,672.0,115.8
2009,Centro-Oeste,1145.8,259.8
2009,Sul,848.3,137.3
2010,Nordeste,652.2,116.3
2010,Norte,1134.1,250.6
2010,Sudeste,714.8,106.8
2010,Centro-Oeste,1221.3,251.8
2010,Sul,1004.0,139.7
2011,Nordeste,762.0,126.2
2011,Norte,1070.9,205.6
2011,Sudeste,794.0,106.3
2011,Centro-Oeste,1310.5,242.8
2011,Sul,1070.0,132.3
2012,Nordeste,841.6,123.1
2012,Norte,1184.1,205.0
2012,Sudeste,892.5,101.3
2012,Centro-Oeste,1451.8,242.5
2012,Sul,1126.3,118.7
2013,Nordeste,812.4,107.3
2013,Norte,1066.0,162.4
2013,Sudeste,836.8,89.0
2013,Centro-Oeste,1475.0,235.8
2013,Sul,1075.3,106.0
2014,Nordeste,818.0,97.1
2014,Norte,1113.0,156.6
2014,Sudeste,818.8,78.3
2014,Centro-Oeste,1438.0,206.5
2014,Sul,1073.0,94.3
2015,Nordeste,770.4,88.9
2015,Norte,978.6,123.9
2015,Sudeste,724.3,68.8
2015,Centro-Oeste,1290.3,180.8
2015,Sul,988.3,82.0
2016,Nordeste,755.8,78.9
2016,Norte,935.6,108.0
2016,Sudeste,718.0,62.8
2016,Centro-Oeste,1261.3,159.8
2016,Sul,995.0,76.3
2017,Nordeste,744.1,74.7
2017,Norte,994.7,116.3
2017,Sudeste,697.5,60.3
2017,Centro-Oeste,1205.5,141.8
2017,Sul,979.7,69.7
2018,Nordeste,711.2,73.7
2018,Norte,1029.4,124.9
2018,Sudeste,617.8,57.5
2018,Centro-Oeste,1139.8,139.0
2018,Sul,894.0,66.0
